longitude,latitude,wifi_strength,relative_wifi_strength
12.657921824405122,-75.73876911806383,-17.837903494268076,0.7913672479849606
-83.9257161186764,70.69323596728461,-24.858408398385656,0.6845254177631057
111.76403685582324,-18.16486248304885,-18.860382149169652,0.8856796319332919
-26.483231301834195,18.33117727096767,-33.334811311093944,0.723981225286868
-86.93982283691905,-7.43279786167443,-31.706743463140484,0.7776954168296051
-122.88846444740855,28.299976612250845,-15.557646470724606,0.9062176968002624
-121.75436336089149,34.45234701010892,-39.73683306160068,0.5866765801835958
-120.69524250973355,-4.027704371209623,-47.21778417708572,0.6387070307793644
-130.3942142369609,35.57543601617867,-19.544983360020794,0.8430375003676155
-126.07283113780034,71.72844425863099,-31.976374584284812,0.563402416207854
-59.44283811638918,79.85542881790508,-49.354451869320386,0.23287405400764832
-6.923221056506975,-74.88775534716024,-23.94188136631064,0.6893475481189449
-125.01661602827993,-19.526308335250278,-37.89787340638131,0.6684462244620861
164.01230224837172,-19.690439302991777,-13.069484137468223,0.9480913124970846
-176.4081076390982,88.02089138672949,-27.12810024249606,0.598612114656596
-122.54364787796041,-53.95097575908863,-52.2539110938964,0.32149709403184257
133.9457550483238,12.170259496509672,-20.069114043548502,0.8846056058435395
40.29598878597869,54.1010365881931,-58.734728278956204,0.2245776200032487
-50.9550137416706,-78.53377100525452,-30.162032054301545,0.5724763465494436
113.55956840201691,-51.257510677807524,-31.153153957097103,0.6427375172989598
119.13184299526597,64.73718800386143,-31.932877736016792,0.5871024910219276
-173.25391920226764,43.186909264266745,-48.65652685902198,0.4286932788329473
123.10881111884504,9.740513419804927,-36.59614306739501,0.7199758635109678
-18.200775295785945,39.18591382554678,-52.36924910750648,0.399366655785718
23.08529763890874,34.78423364122645,-14.45850921376509,0.9099509976994267
104.9047239929327,54.63551133083999,-35.03810731634268,0.5740783819025577
71.6767389534019,-79.45985476633452,-36.86058399740571,0.45277801335848894
175.5625992170672,-63.41506273751134,-13.010000332069737,0.8902182920026329
171.4269281030514,43.16747959860706,-43.24929366936881,0.5028970557182177
38.00915276687135,2.3624890299405052,-10.31150219625843,0.9976146430162623
-26.670722321571418,-66.38342747426972,-19.44335536222978,0.7827031216507794
103.28410310400892,89.14202463830495,-52.32208686374069,0.13099101844053831
-176.95680774613166,-2.3494622345313587,-32.020424338172404,0.7913017111384835
-11.189984197772361,-83.55877940290901,-43.246232931745496,0.3231682531520146
-128.26890343232185,-37.66440779270407,-11.794233803373032,0.9406704081027405
-117.2285732611521,-13.235851296844771,-59.0038684875691,0.4687376734513631
-65.16871249256286,-43.100712437451776,-53.06213473444636,0.36877604308093487
-167.65437498702073,-27.44875828619366,-15.635657995289229,0.906637655550257
115.96895589475622,-72.87016372631767,-43.26098492781386,0.3704931182450373
-66.52296757716297,-56.32757346328017,-53.88787970764201,0.28410964560599306
149.32323906280538,71.24247143076053,-44.308861943041975,0.3603510847924662
-113.12515573452909,42.02525271035401,-22.003504010564612,0.7966585705566034
